iter	Passed	Remaining
355	30179	1665314
356	30245	1664174
357	30310	1662989
358	30385	1662407
359	30460	1661789
360	30528	1660826
361	30610	1660564
362	30691	1660319
363	30770	1659923
364	30846	1659353
365	30926	1659027
366	30992	1657950
367	31057	1656848
368	31127	1655981
369	31194	1654994
370	31271	1654526
371	31346	1653974
372	31422	1653412
373	31501	1653060
374	31575	1652433
375	31652	1652009
376	31729	1651517
377	31797	1650625
378	31877	1650332
379	31946	1649467
380	32036	1649681
381	32106	1648861
382	32179	1648214
383	32254	1647657
384	32327	1647044
385	32421	1647456
386	32496	1646910
387	32574	1646537
388	32671	1647087
389	32751	1646833
390	32836	1646787
391	32900	1645707
392	32980	1645438
393	33052	1644743
394	33129	1644292
395	33204	1643809
396	33272	1642936
397	33345	1642315
398	33435	1642526
399	33514	1642189
400	33583	1641418
401	33662	1641110
402	33728	1640153
403	33802	1639589
404	33884	1639407
405	33935	1637767
406	34012	1637373
407	34095	1637271
408	34175	1637019
409	34245	1636276
410	34325	1636028
411	34404	1635728
412	34475	1635058
413	34560	1635039
414	34620	1633819
415	34688	1633017
416	34755	1632155
417	34824	1631412
418	34905	1631213
419	35034	1633298
420	35123	1633470
421	35203	1633199
422	35290	1633311
423	35356	1632405
424	35439	1632307
425	35522	1632181
426	35590	1631410
427	35659	1630652
428	35749	1630893
429	35822	1630349
430	35909	1630406
431	35989	1630178
432	36061	1629589
433	36136	1629150
434	36218	1628982
435	36295	1628621
436	36371	1628220
437	36455	1628162
438	36532	1627817
439	36613	1627616
440	36696	1627565
441	36791	1627998
442	36873	1627844
443	36946	1627328
444	37029	1627201
445	37098	1626507
446	37166	1625759
447	37242	1625353
448	37309	1624593
449	37381	1624034
450	37452	1623407
451	37531	1623146
452	37612	1622975
453	37702	1623199
454	37776	1622722
455	37850	1622239
456	37938	1622375
457	38010	1621840
458	38092	1621711
459	38182	1621920
460	38262	1621708
461	38351	1621886
462	38429	1621593
463	38502	1621093
464	38574	1620530
465	38661	1620635
466	38752	1620891
467	38830	1620605
468	38907	1620249
469	38997	1620479
470	39075	1620186
471	39147	1619649
472	39222	1619238
473	39303	1619088
474	39391	1619208
475	39465	1618749
476	39544	1618510
477	39636	1618797
478	39712	1618417
479	39788	1618067
480	39874	1618125
481	39960	1618166
482	40038	1617889
483	40104	1617111
484	40183	1616867
485	40265	1616751
486	40339	1616325
487	40425	1616363
488	40499	1615904
489	40580	1615779
490	40668	1615908
491	40751	1615815
492	40836	1615831
493	40921	1615804
494	41003	1615703
495	41074	1615167
496	41169	1615541
497	41246	1615242
498	41340	1615582
499	41422	1615465
500	41512	1615672
501	41602	1615848
502	41695	1616183
503	41780	1616169
504	41852	1615687
505	41939	1615742
506	42022	1615658
507	42094	1615159
508	42177	1615104
509	42250	1614634
510	42332	1614525
511	42397	1613750
512	42464	1613063
513	42554	1613252
514	42614	1612300
515	42689	1611942
516	42778	1612113
517	42855	1611790
518	42932	1611503
519	43013	1611333
520	43094	1611216
521	43181	1611272
522	43259	1611029
523	43345	1611060
524	43443	1611551
525	43534	1611773
526	43610	1611428
527	43703	1611719
528	43782	1611527
529	43852	1610940
530	43926	1610548
531	43999	1610104
532	44091	1610366
533	44162	1609848
534	44231	1609275
535	44310	1609060
536	44383	1608624
537	44473	1608828
538	44542	1608233
539	44629	1608324
540	44707	1608075
541	44784	1607776
542	44860	1607468
543	44938	1607219
544	45013	1606861
545	45089	1606547
546	45184	1606912
547	45258	1606528
548	45341	1606435
549	45413	1605979
550	45485	1605523
551	45568	1605451
552	45645	1605169
553	45714	1604619
554	45794	1604448
555	45867	1604045
556	45954	1604134
557	46042	1604233
558	46112	1603723
559	46200	1603812
560	46275	1603467
