iter	Logloss
0	0.5760082349
1	0.4908856286
2	0.4382686361
3	0.3865473424
4	0.3491422098
5	0.3240570754
6	0.3064070503
7	0.2924059483
8	0.2795466396
9	0.2726631139
10	0.2659587232
11	0.2586634171
12	0.2527910946
13	0.2483598105
14	0.2445849866
15	0.2415412563
16	0.2396173697
17	0.2376935639
18	0.2362417571
19	0.2350797079
20	0.2340773675
21	0.2327930369
22	0.231602318
23	0.2307195142
24	0.2302136425
25	0.2294425939
26	0.2286606686
27	0.2278771122
28	0.2272118513
29	0.2268418928
30	0.22612726
31	0.225790502
32	0.2254190143
33	0.2250356068
34	0.2245677691
35	0.2241458352
36	0.223875998
37	0.2236342838
38	0.2233898945
39	0.2231065149
40	0.2228681531
41	0.2226044505
42	0.2224555675
43	0.2223253768
44	0.2221051547
45	0.221945647
46	0.2217943756
47	0.2216673905
48	0.2215672524
49	0.2214345923
50	0.2212683843
51	0.2211144246
52	0.2210096008
53	0.2208554828
54	0.2207882066
55	0.2207133685
56	0.2206587655
57	0.2205896986
58	0.2205221182
59	0.2204253169
60	0.2203758052
61	0.2203030403
62	0.2202587349
63	0.2202014902
64	0.2201570848
65	0.2201027023
66	0.2200688523
67	0.2200329749
68	0.2199957683
69	0.2199629036
70	0.2199273619
71	0.2198835744
72	0.2198558037
73	0.2197713237
74	0.2197329733
75	0.2196807577
76	0.2196464345
77	0.2196214441
78	0.2195882274
79	0.2195363108
80	0.2194882403
81	0.2194459002
82	0.2194320768
83	0.2194101148
84	0.2193421592
85	0.2193302334
86	0.2193095599
87	0.2192914085
88	0.2192611985
89	0.2192484527
90	0.2192265301
91	0.2191826149
92	0.2191363508
93	0.2191046027
94	0.2190894256
95	0.2190685338
96	0.2190368222
97	0.2190212249
98	0.2190081881
99	0.2189914768
100	0.2189759048
101	0.2189606119
102	0.2189486719
103	0.2189334415
104	0.2189230473
105	0.2188930913
106	0.21886407
107	0.2188549522
108	0.2188320084
109	0.2188189638
110	0.2187985001
111	0.2187909408
112	0.2187714867
113	0.2187576533
114	0.2187423367
115	0.2187293636
116	0.2187185137
117	0.218707155
118	0.2186934306
119	0.2186811931
120	0.2186549791
121	0.218629736
122	0.2186209695
123	0.2186011824
124	0.2185913165
125	0.2185659708
126	0.2185516423
127	0.2185430412
128	0.218529233
129	0.2185171829
130	0.2185060401
131	0.2184891824
132	0.2184737877
133	0.2184597025
134	0.2184427832
135	0.2184335514
136	0.2184138781
137	0.2183983698
138	0.2183918479
139	0.2183782851
140	0.218360472
141	0.2183543365
142	0.218344911
143	0.2183295854
144	0.2183060584
145	0.2182964895
146	0.2182894904
147	0.2182760866
148	0.218265328
149	0.2182517084
150	0.218242423
151	0.2182344097
152	0.2182248123
153	0.2182153116
154	0.2182054355
155	0.2181976517
156	0.2181893348
157	0.218177301
158	0.2181617353
159	0.2181517281
160	0.2181407339
161	0.2181327241
162	0.218121089
163	0.2181017709
164	0.2180855918
165	0.2180785397
166	0.2180680928
167	0.2180582274
168	0.2180493023
169	0.2180400188
170	0.21802871
171	0.2180154761
172	0.2180021909
173	0.2179891366
174	0.217980485
175	0.217971348
176	0.2179621752
177	0.2179509976
178	0.217940852
179	0.2179272629
180	0.2179142019
181	0.2179065309
182	0.2178950685
183	0.2178868529
184	0.2178781511
185	0.2178679826
186	0.2178591487
187	0.2178486167
188	0.2178371272
189	0.2178218916
190	0.2178129322
191	0.2177998549
192	0.2177900398
193	0.2177797109
194	0.2177702436
195	0.2177587757
196	0.2177481819
197	0.2177397242
198	0.2177272368
199	0.2177180183
200	0.2177080002
201	0.217698322
202	0.2176756816
203	0.2176640041
204	0.2176532406
205	0.2176456148
206	0.2176369802
207	0.2176262803
208	0.2176168012
209	0.2176068118
210	0.2175942962
211	0.2175828378
212	0.2175720523
213	0.2175633643
214	0.2175560117
215	0.2175467941
216	0.2175368725
217	0.2175233399
218	0.2175140333
219	0.2175086457
220	0.217497888
221	0.2174913392
222	0.2174826211
223	0.2174727406
224	0.2174620248
225	0.2174507775
226	0.217440151
227	0.2174306262
228	0.2174213656
229	0.2174133736
230	0.2174031591
231	0.2173953496
232	0.2173886877
233	0.217380825
234	0.2173635796
235	0.2173547649
236	0.2173469876
237	0.2173366914
238	0.2173263157
239	0.2173165054
240	0.2173047879
241	0.2172978717
242	0.2172883475
243	0.2172798454
244	0.2172718032
245	0.2172630362
246	0.2172520749
247	0.2172426825
248	0.2172358968
249	0.217226698
250	0.2172168009
251	0.2172068369
252	0.2171913147
253	0.2171838734
254	0.2171762994
255	0.2171713366
256	0.217162606
257	0.217150816
258	0.2171426677
259	0.217135042
260	0.2171248544
261	0.2171089734
262	0.2170974964
263	0.2170901339
264	0.2170813706
265	0.2170712588
266	0.2170603618
267	0.2170551671
268	0.217044371
269	0.2170388722
270	0.2170272655
271	0.217017891
272	0.2170081712
273	0.2169989812
274	0.2169888956
275	0.2169784557
276	0.2169705799
277	0.2169616073
278	0.2169514075
279	0.2169433385
280	0.2169332933
281	0.2169243927
282	0.2169105925
283	0.2169027015
284	0.2168923785
285	0.2168846932
286	0.2168750605
287	0.2168658584
288	0.2168585074
289	0.2168502089
290	0.2168422566
291	0.2168322037
292	0.2168229639
293	0.2168163519
294	0.2168082875
295	0.2168000184
296	0.2167912348
297	0.2167848749
298	0.2167762989
299	0.2167635961
300	0.2167554167
301	0.2167485539
302	0.2167401352
303	0.2167319569
304	0.2167248408
305	0.2167158768
306	0.2167060774
307	0.2166968402
308	0.2166872813
309	0.2166784014
310	0.2166713182
311	0.2166627929
312	0.2166540154
313	0.2166475995
314	0.2166353109
315	0.2166256341
316	0.2166170748
317	0.2166059283
318	0.2165979344
319	0.2165908545
320	0.2165845215
321	0.2165774018
322	0.2165689023
323	0.2165613778
324	0.2165531658
325	0.2165467565
326	0.2165366737
327	0.2165292356
328	0.2165210393
329	0.2165122031
330	0.2165045143
331	0.2164972543
332	0.2164897517
333	0.2164812027
334	0.2164713394
335	0.2164607191
336	0.216453825
337	0.2164502568
338	0.2164415269
339	0.2164326638
340	0.2164265575
341	0.2164212174
342	0.2164157688
343	0.2164080432
344	0.2163993433
345	0.2163911986
346	0.2163845048
347	0.2163768268
348	0.2163711132
349	0.2163647717
350	0.2163578151
351	0.2163476137
352	0.2163405338
353	0.2163303143
354	0.2163243787
355	0.21631755
356	0.2163112474
357	0.2163063517
358	0.2162956033
359	0.2162841831
360	0.2162761882
361	0.2162669965
362	0.2162616075
363	0.2162511429
364	0.2162427024
365	0.216236032
366	0.2162303894
367	0.2162228879
368	0.2162139352
369	0.2162010864
370	0.2161945832
371	0.2161851184
372	0.2161755284
373	0.2161681412
374	0.2161610282
375	0.2161532133
376	0.2161476295
377	0.2161400474
378	0.2161330543
379	0.2161265061
380	0.2161181996
381	0.2161113878
382	0.2161023957
383	0.2160925951
384	0.2160824429
385	0.2160730069
386	0.2160628268
387	0.2160548074
388	0.2160469655
389	0.2160402705
390	0.2160329672
391	0.2160239871
392	0.2160209718
393	0.2160124739
394	0.2160062888
395	0.2159978703
396	0.2159894657
397	0.2159820285
398	0.2159746669
399	0.2159660239
400	0.2159580659
401	0.2159501462
402	0.2159418936
403	0.2159364066
404	0.2159299502
405	0.2159191542
406	0.2159116779
407	0.2159040401
408	0.2158970634
409	0.215891237
410	0.2158843234
411	0.2158768662
412	0.2158688792
413	0.2158622898
414	0.2158551889
415	0.2158475826
416	0.2158423773
417	0.2158364447
418	0.2158305392
419	0.2158227125
420	0.2158148891
421	0.2158087624
422	0.2158007144
423	0.2157911903
424	0.2157838202
425	0.2157742571
426	0.2157658955
427	0.2157580274
428	0.2157516135
429	0.2157454937
430	0.2157396579
431	0.2157313601
432	0.2157243049
433	0.2157177342
434	0.2157106188
435	0.2157013573
436	0.2156961278
437	0.2156889683
438	0.2156817707
439	0.2156730436
440	0.215667871
441	0.2156644037
442	0.2156565379
443	0.2156494366
444	0.2156417595
445	0.2156374255
446	0.2156293341
447	0.2156225476
448	0.2156176898
449	0.215608109
450	0.2155998239
451	0.2155899399
452	0.2155839295
453	0.215572976
454	0.2155657816
455	0.2155583828
456	0.2155535906
457	0.2155453122
458	0.2155376944
459	0.2155301381
460	0.215522019
461	0.2155142955
462	0.2155066847
463	0.2154990649
464	0.2154906333
465	0.215487509
466	0.2154796777
467	0.2154724158
468	0.2154649547
469	0.2154558382
470	0.2154481059
471	0.2154388648
472	0.2154311484
473	0.2154242131
474	0.2154218982
475	0.2154152095
476	0.2154065803
477	0.2153993266
478	0.2153917435
479	0.2153830473
480	0.2153774532
481	0.2153707201
482	0.2153632935
483	0.2153550847
484	0.2153490271
485	0.215340595
486	0.2153327908
487	0.215325485
488	0.2153188584
489	0.2153113984
490	0.215304719
491	0.2152979286
492	0.2152898253
493	0.2152846731
494	0.2152769086
495	0.2152714409
496	0.2152636243
497	0.2152543907
498	0.2152461461
499	0.2152391499
500	0.2152330617
501	0.2152232133
502	0.2152148897
503	0.2152091301
504	0.2152019559
505	0.2151904844
506	0.21518308
507	0.2151756655
508	0.2151677739
509	0.2151608829
510	0.215155043
511	0.2151474287
512	0.2151411863
513	0.2151320881
514	0.2151230664
515	0.2151146911
516	0.2151083069
517	0.215100408
518	0.215093103
519	0.2150875459
520	0.2150808343
521	0.215072572
522	0.2150661562
523	0.2150601619
524	0.2150529529
525	0.2150464268
526	0.2150379454
527	0.215030022
528	0.2150245596
529	0.2150172245
530	0.2150107309
531	0.2150038525
532	0.2149988027
533	0.2149960358
534	0.2149883664
535	0.2149813109
536	0.2149750987
537	0.2149664771
538	0.214955355
539	0.2149507508
540	0.2149472603
541	0.2149407264
542	0.2149329156
543	0.2149253885
544	0.214917739
545	0.214910912
546	0.2149040329
547	0.2148965381
548	0.2148885554
549	0.2148811008
550	0.2148758073
551	0.214869182
552	0.2148619645
553	0.2148542535
554	0.2148495709
555	0.2148429398
556	0.2148348175
557	0.2148259576
558	0.214821984
559	0.2148153009
560	0.2148092236
561	0.2148022438
562	0.2147960567
563	0.214788127
564	0.2147839428
565	0.2147773973
566	0.2147726794
567	0.2147671584
568	0.2147603788
569	0.2147537101
570	0.2147421095
571	0.2147343154
572	0.2147262704
573	0.2147198611
574	0.2147112524
575	0.214704152
576	0.2146957434
577	0.2146883348
578	0.2146802061
579	0.2146731486
580	0.2146648019
581	0.2146582719
582	0.2146499835
583	0.214643698
584	0.2146370243
585	0.2146315067
586	0.2146233412
587	0.2146157629
588	0.2146081653
589	0.2146007624
590	0.2145933266
591	0.2145866783
592	0.2145809966
593	0.2145716649
594	0.214563086
595	0.214553208
596	0.2145465896
597	0.2145395974
598	0.214532708
599	0.2145259694
600	0.2145204385
601	0.2145141307
602	0.214504893
603	0.2144968942
604	0.2144895478
605	0.2144834435
606	0.2144779914
607	0.2144714155
608	0.2144656445
609	0.2144614057
610	0.2144536745
611	0.2144482504
612	0.2144428381
613	0.2144365666
614	0.2144299733
615	0.214422727
616	0.214414395
617	0.2144061269
618	0.2143987429
619	0.2143907149
620	0.2143809612
621	0.2143757207
622	0.2143677445
623	0.21436069
624	0.214355009
625	0.2143503531
626	0.2143421164
627	0.2143332476
628	0.2143244148
629	0.2143150929
630	0.2143075887
631	0.2143015511
632	0.2142958985
633	0.2142883027
634	0.2142812629
635	0.2142740418
636	0.2142672483
637	0.2142608704
638	0.2142539649
639	0.2142468825
640	0.2142414601
641	0.2142364761
642	0.214229912
643	0.2142231689
644	0.2142146524
645	0.2142075217
646	0.2142016736
647	0.2141943945
648	0.2141867785
649	0.2141802789
650	0.2141727367
651	0.2141648546
652	0.2141606709
653	0.2141561552
654	0.2141476111
655	0.214143313
656	0.2141369796
657	0.2141276483
658	0.2141210219
659	0.214114323
660	0.2141064915
661	0.214099923
662	0.2140960001
663	0.2140908227
664	0.214081625
665	0.2140750351
666	0.2140661326
667	0.214060685
668	0.2140514619
669	0.2140440878
670	0.2140367857
671	0.2140279861
672	0.2140196983
673	0.2140109128
674	0.2140056014
675	0.2139992786
676	0.2139950085
677	0.2139888767
678	0.2139825343
679	0.2139769073
680	0.2139706458
681	0.2139639346
682	0.2139575871
683	0.21395149
684	0.2139458147
685	0.2139384106
686	0.2139315745
687	0.2139260453
688	0.2139188119
689	0.2139125188
690	0.2139066368
691	0.213901711
692	0.2138950256
693	0.2138859608
694	0.2138795496
695	0.2138753151
696	0.213869982
697	0.213864991
698	0.2138587857
699	0.2138477736
700	0.2138414485
701	0.2138357854
702	0.2138316136
703	0.2138263697
704	0.2138170623
705	0.2138095343
706	0.2138034612
707	0.213795582
708	0.2137884406
709	0.2137822265
710	0.2137753521
711	0.2137696383
712	0.2137627149
713	0.2137547174
714	0.2137492125
715	0.2137434033
716	0.2137366088
717	0.2137298119
718	0.2137226102
719	0.2137143608
720	0.2137075039
721	0.21369997
722	0.2136936112
723	0.2136871615
724	0.2136803679
725	0.213674091
726	0.2136654294
727	0.2136600441
728	0.2136551899
729	0.213648532
730	0.2136406966
731	0.2136346969
732	0.2136304946
733	0.2136237302
734	0.2136186201
735	0.213610497
736	0.2136060779
737	0.2136000607
738	0.2135947689
739	0.2135911123
740	0.213586219
741	0.2135785907
742	0.2135712631
743	0.2135667141
744	0.2135620413
745	0.213559701
746	0.2135521574
747	0.2135447031
748	0.2135394113
749	0.2135337389
750	0.2135252214
751	0.2135183539
752	0.2135107813
753	0.213503061
754	0.2134973754
755	0.2134901746
756	0.213483256
757	0.213476141
758	0.2134681947
759	0.2134611943
760	0.2134552145
761	0.2134414156
762	0.2134324357
763	0.2134251987
764	0.2134188949
765	0.213411243
766	0.2134054217
767	0.2133995839
768	0.2133923006
769	0.2133856128
770	0.2133781406
